,ACTIVITY_NR,CITATION_ID,DELETE_FLAG,STANDARD,VIOL_TYPE,ISSUANCE_DATE,ABATE_DATE,ABATE_COMPLETE,CURRENT_PENALTY,INITIAL_PENALTY,CONTEST_DATE,FINAL_ORDER_DATE,NR_INSTANCES,NR_EXPOSED,REC,GRAVITY,EMPHASIS,HAZCAT,FTA_INSP_NR,FTA_ISSUANCE_DATE,FTA_PENALTY,FTA_CONTEST_DATE,FTA_FINAL_ORDER_DATE,HAZSUB1,HAZSUB2,HAZSUB3,HAZSUB4,HAZSUB5,LOAD_DT,RNUM
0,342934890,01001A,,19100029 B02 I,S,09-MAR-18,26-MAR-18,2,3000,6467,,26-MAR-18,1,2,,5,,,,,,,,,,,,,04-DEC-23,1
1,342934890,01001B,,19260451 C02 V,S,09-MAR-18,26-MAR-18,2,0,0,,26-MAR-18,1,1,C,5,,,,,,,,,,,,,04-DEC-23,2
2,342934890,01002A,,19100178 L02 II,S,09-MAR-18,26-MAR-18,2,2300,5174,,26-MAR-18,1,3,,5,,,,,,,,,,,,,04-DEC-23,3
3,342934890,01002B,,19100178 L06,S,09-MAR-18,26-MAR-18,2,0,0,,26-MAR-18,1,3,,5,,,,,,,,,,,,,04-DEC-23,4
4,342965498,01001,,19100147 F01 V,S,24-MAY-18,25-JUN-18,2,5500,9054,21-JUN-18,24-DEC-18,1,14,R,10,,,,,,,,,,,,,04-DEC-23,1
5,342997244,01001,,19100151 C,S,16-MAR-18,16-APR-18,2,4400,7391,,10-APR-18,1,1,,5,,,,,,,,,,,,,04-DEC-23,1
6,342997244,01002A,,19101200 E01 I,S,16-MAR-18,16-APR-18,2,4400,7391,,10-APR-18,1,24,,5,,,,,,,,,,,,,04-DEC-23,2
7,342997244,01002B,,19101200 H01,S,16-MAR-18,16-APR-18,2,0,0,,10-APR-18,1,24,,5,,,,,,,,,,,,,04-DEC-23,3
8,343056065,01001,,19260502 D15 II,S,17-MAY-18,18-JUN-18,2,1000,2217,13-AUG-18,15-NOV-18,1,3,C,5,,,,,,,,,,,,,04-DEC-23,1
9,343056156,01001A,,19260020 B02,S,25-JUN-18,25-JUL-18,7,2439,2439,,24-JUL-18,1,4,,5,,,,,,,,,,,,,04-DEC-23,1
10,343056156,01001B,,19261053 B01,S,25-JUN-18,25-JUL-18,7,0,0,,24-JUL-18,1,4,,5,,,,,,,,,,,,,04-DEC-23,2
11,343056156,01002,,19260501 B10,R,25-JUN-18,25-JUL-18,7,6097,6097,,24-JUL-18,1,4,C,5,,,,,,,,,,,,,04-DEC-23,3
12,343056156,02001,,19030019 C01,O,07-SEP-18,17-OCT-18,7,311,311,,19-OCT-18,1,4,,,,,,,,,,,,,,,04-DEC-23,4
13,343056156,02002,,19030019 D01,O,07-SEP-18,17-OCT-18,7,311,311,,19-OCT-18,1,4,,,,,,,,,,,,,,,04-DEC-23,5
14,342934890,01001A,,19100029 B02 I,S,09-MAR-18,26-MAR-18,2,3000,6467,,26-MAR-18,1,2,,5,,,,,,,,,,,,,04-DEC-23,1
15,342934890,01001B,,19260451 C02 V,S,09-MAR-18,26-MAR-18,2,0,0,,26-MAR-18,1,1,C,5,,,,,,,,,,,,,04-DEC-23,2
16,342934890,01002A,,19100178 L02 II,S,09-MAR-18,26-MAR-18,2,2300,5174,,26-MAR-18,1,3,,5,,,,,,,,,,,,,04-DEC-23,3
17,342934890,01002B,,19100178 L06,S,09-MAR-18,26-MAR-18,2,0,0,,26-MAR-18,1,3,,5,,,,,,,,,,,,,04-DEC-23,4
18,342965498,01001,,19100147 F01 V,S,24-MAY-18,25-JUN-18,2,5500,9054,21-JUN-18,24-DEC-18,1,14,R,10,,,,,,,,,,,,,04-DEC-23,1
19,342997244,01001,,19100151 C,S,16-MAR-18,16-APR-18,2,4400,7391,,10-APR-18,1,1,,5,,,,,,,,,,,,,04-DEC-23,1
20,342997244,01002A,,19101200 E01 I,S,16-MAR-18,16-APR-18,2,4400,7391,,10-APR-18,1,24,,5,,,,,,,,,,,,,04-DEC-23,2
21,342997244,01002B,,19101200 H01,S,16-MAR-18,16-APR-18,2,0,0,,10-APR-18,1,24,,5,,,,,,,,,,,,,04-DEC-23,3
22,343056065,01001,,19260502 D15 II,S,17-MAY-18,18-JUN-18,2,1000,2217,13-AUG-18,15-NOV-18,1,3,C,5,,,,,,,,,,,,,04-DEC-23,1
23,343056156,01001A,,19260020 B02,S,25-JUN-18,25-JUL-18,7,2439,2439,,24-JUL-18,1,4,,5,,,,,,,,,,,,,04-DEC-23,1
24,343056156,01001B,,19261053 B01,S,25-JUN-18,25-JUL-18,7,0,0,,24-JUL-18,1,4,,5,,,,,,,,,,,,,04-DEC-23,2
25,343056156,01002,,19260501 B10,R,25-JUN-18,25-JUL-18,7,6097,6097,,24-JUL-18,1,4,C,5,,,,,,,,,,,,,04-DEC-23,3
26,343056156,02001,,19030019 C01,O,07-SEP-18,17-OCT-18,7,311,311,,19-OCT-18,1,4,,,,,,,,,,,,,,,04-DEC-23,4
27,343056156,02002,,19030019 D01,O,07-SEP-18,17-OCT-18,7,311,311,,19-OCT-18,1,4,,,,,,,,,,,,,,,04-DEC-23,5
28,343099636,01001A,,19260020 B02,R,07-AUG-18,06-SEP-18,2,5000,8536,,29-AUG-18,1,2,,10,,,,,,,,,,,,,04-DEC-23,1
29,343099636,01001B,,19260501 B13,R,07-AUG-18,06-SEP-18,2,0,0,,29-AUG-18,1,2,C,10,,,,,,,,,,,,,04-DEC-23,2
30,343299707,01001A,,19260020 B02,S,21-AUG-18,20-SEP-18,2,3000,5174,,19-SEP-18,1,2,,10,,,,,,,,,,,,,04-DEC-23,1
31,343299707,01001B,,19260502 E01,S,21-AUG-18,20-SEP-18,2,0,0,,19-SEP-18,1,2,,10,,,,,,,,,,,,,04-DEC-23,2
32,343308557,01001A,,19260020 B02,S,14-NOV-18,14-DEC-18,2,1828,3049,,10-DEC-18,1,2,,5,,,,,,,,,,,,,04-DEC-23,1
33,343308557,01001B,,19260502 D15,S,14-NOV-18,14-DEC-18,2,0,0,,10-DEC-18,2,2,C,5,,,,,,,,,,,,,04-DEC-23,2
34,343308557,02001,,19260503 A01,R,14-NOV-18,14-DEC-18,2,3657,6098,,10-DEC-18,2,2,,5,,,,,,,,,,,,,04-DEC-23,3
